tweet,label
Nna Ike Gwuru ooo. 😂 https://t.co/NDS7juFBGd,2
@user Chineke nna kezi mgbe ole???,2
Lol. Isi adirokwanu gi nma.. 😐😒😒😒 https://t.co/5gzmgYk6RW,2
@user haha. Fulani herdsmen. akpa amu gi retweet. Rie nsi 😝,2
Nna ghetto di gi na aru biko!!! https://t.co/4G9bzI4uKG,2
@user Ezigbo onye iberibe,2
Thief!!!!! Ole!!! Barawo!!! Onye oshi!!!! https://t.co/PzG1OhDP5v,2
Chukwu nna! Afam ị gaghị egbu mmadụ na app a. https://t.co/sjaIvDTWYp,2
@user Or ma agbalie gi elu🙄,2
@user O dikwa egwu😂😂😂😂,2
@user Lmao Awka na ebi ajo ndu,2
"@user Nna ehh, ụfọdụ ụmụ nwoke dara iberibe 🤦🏽‍♂️",2
@user Rapụ ndị nzuzu,2
"Taa!! Nnaa, gaa zuru ike. https://t.co/izWxsFTOc0",2
Nobody ugly oooo Obu ego na akpari mmadu https://t.co/GdSQUyJZkF,2
@user @user @user @user @user @user @user @user @user @user @user Rijuo nsi onu dia... Nkea abuluzia gini.. Alako kwana muna chairmo ooh before kitikpa agbasa gi isi,2
Negodu mama mmadu 🤦‍♂️ https://t.co/gl9WFQQclZ,2
@user @user @user Nsogbu dị kwa.... Ife corona na cause... 😩😩,2
@user Zuzuru Getaway from here... Onye nkogheri...,2
"@user @user 🤣 🤣 🤣.. Agwọ Sia onye ala, ọ gaghị ahapụ ntamu..",2
@user @user Thunder fire onu gi ji ekwu ụdịrị ihe a,2
@user @user 😂😂😂😂😂😂 I di sure na the okiri agbawabero ya isi,2
I bu onye nzuzu! 🤦🏾‍♀️ https://t.co/tuihPOz2Ae,2
@user O siri nke ozo na beer adiro ya mma na aru,2
"@user @user 😂 😂 ya ehh, m nweta gị...",2
@user Maka Chi. Na ochichi Buhari a? Ka mmadụ na-eje eyi udi akwa ahụ 😂🤣,2
I na atupuru ndi nzuzu onu https://t.co/CsYL26qUIB,2
@user @user Nzuzu ya di few mush!,2
"@user aunty mi, e ne we iwe oku oh",2
@user @user Ị na ańaa ifeanyi ọnụ ọjọọ nti,2
@user @user biko dutelu anyi mmadu from mgbago inu😂,2
"@user Haha. Ele gini? Nwanyi, Kedu ubosi e subakwa imo? 😒",2
@user Ike guru m o,2
@user @user Nsogbu digodi next season for Arsenal😂,2
@user Guy idikwanu ajoo Wicked😆😆😆😆 Afa ehhhhh.... Egwu dikwa,2
@user Ọ bụghị asị... Mana ole n'ime ha ka isi dị mma??,2
Ezigbo Nonsense lmao https://t.co/rxHBrc4jtJ,2
@user Mechie onu osiso. Iti boli bor,2
Kilikpa lacha gi anya ebe-ahu idiot,2
@user @user @user @user Oge ahu gbuo gi dia.. Esi beegi eje bee onye kwanu..,2
Chineke nna ekwekwala ihe ọjọọ https://t.co/hEGxXeXEnC,2
@user @user As in ehn. Ndi mmadu enwero zi Obi ebele. 😂,2
Luiz efulefu mmadu,2
Ndị ala ndi ala Lele lekwa ha https://t.co/ChVN2EX35Q,2
"@user O di na iwu mana aga azota ana wee zoba ute, Onowu. Kee mgbe ana akpo anyi oku?",2
@user Don't oo Maka ndu gi😂😂😂😂😂😂,2
@user Ndi mbaise na enyekari nsogbu 😂,2
@user @user 😂😂😂 Osi no privacy. This my Awka-Etiti sister ina enye Nsogbu ooo 😫😫,2
"E be Mbaise road di otuh, kedu ka Umuahia GA di🤔 👀👀 https://t.co/moNw0lmHd2",2
@user @user @user Ibu ezigbo okpo 3buka 🤣,2
"@user Ibu onye ara, anuofia, allika, nkiita ara, eezi, aakuodu",2
@user Ike gwuru ndi ochichi anyi,2
@user @user Thunder nke sị na Abaa okwia😛😛😛,2
"@user Ezigbo Prof ndi ala, lol IK ... ☹️",2
@user Chucks de chef. Afọ asakwana nwoke mmadu🤣🤣🤣,2
You see umuada? Ndi a bu ndi akpo oh! 😭 https://t.co/brk1e5qBSP,2
@user @user Akuko aburo obele ya. 🤦🏼‍♀️,2
@user A gwasịa m gị 🙈,2
@user 😂😂😂🤣 Isim hudo ya ama kwa... Nna eeh.. Once mmili malu kpam na ala uzo etiwa abuo maka chii... Haa jidelu uzo dibu obelle nma kpuchasia unto say faa ga etelu anyi ya since 2018 ooh.. Erosion welu nwayo na acho ka ojide uzo mebisia,2
"@user @user @user Nne, jide nke I ji. Ifunanya mu nwere n'ebe I no na-afu afu ka gari oñuru 😀",2
bitch emetụla ego m aka. Achọghị m nsogbu,2
Mechie onu biko https://t.co/xbwypM9ZfU,2
Nsogbu di kwa. https://t.co/VOg1D5j0tD,2
@user @user Men na ewe iwe okwu.,2
Aso mmiri ebe nile. Hian. https://t.co/eyhcpzCha9,2
@user Onye ofe mmanu😒,2
@user @user Ina atupuru onye ahu onu,2
